reporting_jurisdiction,county_names,other_jurisdiction,zipcode,population_served,sample_location,sample_location_specify,institution_type,wwtp_name,wwtp_jurisdiction,capacity_mgd,sample_type,sample_matrix,concentration_method,extraction_method,rec_eff_target_name,rec_eff_spike_matrix,rec_eff_spike_conc,pcr_target,pcr_gene_target,pcr_gene_target_ref,pcr_type,lod_ref,quant_stan_type,stan_ref,inhibition_method,num_no_target_control,sample_collect_date,sample_collect_time,flow_rate,sample_id,lab_id,test_result_date,pcr_target_units,pcr_target_avg_conc,lod_sewage,ntc_amplify,rec_eff_percent,inhibition_detect,inhibition_adjust,hum_frac_mic_conc,hum_frac_mic_unit,hum_frac_target_mic,hum_frac_target_mic_ref,epaid,major_lab_method,major_lab_method_desc,site_id,,,,,
OH,39009,,45701,24536,upstream  ,OU_A,not institution specific,Athens WTP,OH,4.8,24-hr time-weighted composite,raw wastewater,innovaprep ultrafiltration,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,2,sars-cov-2,n2,US_CDC 2019-Novel Coronavirus (2019-nCoV) Real-time rRT-PCR Panel: Primers and Probes. 2020.,dpcr,LOD calculation - Qiagen email - 2022-09-22,rna,"Twist Synthetic SARS-CoV-2 RNA Control
2 (MN908947.3)",GT Molecular Inhibition Assessment Protocol Appendix E for QIAcuity,2,2023-07-09,0:00,2.6,A_07092023,OU,2023-07-10,copies/L wastewater,1697,964,no,18.94,not tested,no,4282824,copies/L wastewater,pepper mild mottle virus,"Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). ",OH0023931,21,this lab uses a lab method distinct from other labs in this reporting jurisdiction,,,,,,
OH,39009,,45701,1707,upstream  ,OU_D,not institution specific,Athens WTP,OH,4.8,24-hr time-weighted composite,raw wastewater,innovaprep ultrafiltration,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,2,sars-cov-2,n2,US_CDC 2019-Novel Coronavirus (2019-nCoV) Real-time rRT-PCR Panel: Primers and Probes. 2020.,dpcr,LOD calculation - Qiagen email - 2022-09-105,rna,"Twist Synthetic SARS-CoV-2 RNA Control
2 (MN908947.3)",GT Molecular Inhibition Assessment Protocol Appendix E for QIAcuity,2,2023-07-09,7:44,0.06828,D_07092023,OU,2023-07-10,copies/L wastewater,0,964,no,21.41,not tested,no,1010219,copies/L wastewater,pepper mild mottle virus,"Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). ",OH0023931,21,this lab uses a lab method distinct from other labs in this reporting jurisdiction,39009-001-01-01-01,,,,,
OH,39009,,45701,1884,upstream  ,OU_L,not institution specific,Athens WTP,OH,4.8,24-hr time-weighted composite,raw wastewater,innovaprep ultrafiltration,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,2,sars-cov-2,n2,US_CDC 2019-Novel Coronavirus (2019-nCoV) Real-time rRT-PCR Panel: Primers and Probes. 2020.,dpcr,LOD calculation - Qiagen email - 2022-09-106,rna,"Twist Synthetic SARS-CoV-2 RNA Control
2 (MN908947.3)",GT Molecular Inhibition Assessment Protocol Appendix E for QIAcuity,2,2023-07-09,8:20,0.07536,L_07092023,OU,2023-07-10,copies/L wastewater,3686,964,no,15.83,not tested,no,3185914,copies/L wastewater,pepper mild mottle virus,"Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). ",OH0023931,21,this lab uses a lab method distinct from other labs in this reporting jurisdiction,39009-001-01-02-01,,,,,
OH,39009,,45701,4401,upstream  ,OU_R,not institution specific,Athens WTP,OH,4.8,24-hr time-weighted composite,raw wastewater,innovaprep ultrafiltration,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,2,sars-cov-2,n2,US_CDC 2019-Novel Coronavirus (2019-nCoV) Real-time rRT-PCR Panel: Primers and Probes. 2020.,dpcr,LOD calculation - Qiagen email - 2022-09-107,rna,"Twist Synthetic SARS-CoV-2 RNA Control
2 (MN908947.3)",GT Molecular Inhibition Assessment Protocol Appendix E for QIAcuity,2,2023-07-09,8:04,0.17604,R_07092023,OU,2023-07-10,copies/L wastewater,384,964,no,17.04,not tested,no,2501819,copies/L wastewater,pepper mild mottle virus,"Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). ",OH0023931,21,this lab uses a lab method distinct from other labs in this reporting jurisdiction,39009-001-01-03-01,,,,,
OH,39009,,45701,1681,upstream  ,OU_TP6,higher ed other,Athens WTP,OH,4.8,24-hr time-weighted composite,raw wastewater,innovaprep ultrafiltration,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,2,sars-cov-2,n2,US_CDC 2019-Novel Coronavirus (2019-nCoV) Real-time rRT-PCR Panel: Primers and Probes. 2020.,dpcr,LOD calculation - Qiagen email - 2022-09-108,rna,"Twist Synthetic SARS-CoV-2 RNA Control
2 (MN908947.3)",GT Molecular Inhibition Assessment Protocol Appendix E for QIAcuity,2,2023-07-09,7:54,0.06724,TP6_07092023,OU,2023-07-10,copies/L wastewater,0,964,no,12.68,not tested,no,163072,copies/L wastewater,pepper mild mottle virus,"Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). ",OH0023931,21,this lab uses a lab method distinct from other labs in this reporting jurisdiction,39009-001-01-04-04,,,,,
OH,39009,,45701,24536,upstream  ,OU_A,not institution specific,Athens WTP,OH,4.8,24-hr time-weighted composite,raw wastewater,innovaprep ultrafiltration,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,2,sars-cov-2,n2,US_CDC 2019-Novel Coronavirus (2019-nCoV) Real-time rRT-PCR Panel: Primers and Probes. 2020.,dpcr,LOD calculation - Qiagen email - 2022-09-22,rna,"Twist Synthetic SARS-CoV-2 RNA Control
2 (MN908947.3)",GT Molecular Inhibition Assessment Protocol Appendix E for QIAcuity,2,2023-07-11,0:00,2.6,A_07112023,OU,2023-07-12,copies/L wastewater,2606,964,no,13.33,not tested,no,2697357,copies/L wastewater,pepper mild mottle virus,"Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). ",OH0023931,21,this lab uses a lab method distinct from other labs in this reporting jurisdiction,,,,,,
OH,39009,,45701,1707,upstream  ,OU_D,not institution specific,Athens WTP,OH,4.8,24-hr time-weighted composite,raw wastewater,innovaprep ultrafiltration,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,2,sars-cov-2,n2,US_CDC 2019-Novel Coronavirus (2019-nCoV) Real-time rRT-PCR Panel: Primers and Probes. 2020.,dpcr,LOD calculation - Qiagen email - 2022-09-105,rna,"Twist Synthetic SARS-CoV-2 RNA Control
2 (MN908947.3)",GT Molecular Inhibition Assessment Protocol Appendix E for QIAcuity,2,2023-07-11,7:44,0.06828,D_07112023,OU,2023-07-12,copies/L wastewater,5133,964,no,16.56,not tested,no,917548,copies/L wastewater,pepper mild mottle virus,"Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). ",OH0023931,21,this lab uses a lab method distinct from other labs in this reporting jurisdiction,39009-001-01-01-01,,,,,
OH,39009,,45701,1884,upstream  ,OU_L,not institution specific,Athens WTP,OH,4.8,24-hr time-weighted composite,raw wastewater,innovaprep ultrafiltration,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,2,sars-cov-2,n2,US_CDC 2019-Novel Coronavirus (2019-nCoV) Real-time rRT-PCR Panel: Primers and Probes. 2020.,dpcr,LOD calculation - Qiagen email - 2022-09-106,rna,"Twist Synthetic SARS-CoV-2 RNA Control
2 (MN908947.3)",GT Molecular Inhibition Assessment Protocol Appendix E for QIAcuity,2,2023-07-11,8:20,0.07536,L_07112023,OU,2023-07-12,copies/L wastewater,5526,964,no,7.63,not tested,no,10008590,copies/L wastewater,pepper mild mottle virus,"Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). ",OH0023931,21,this lab uses a lab method distinct from other labs in this reporting jurisdiction,39009-001-01-02-01,,,,,
OH,39009,,45701,4401,upstream  ,OU_R,not institution specific,Athens WTP,OH,4.8,24-hr time-weighted composite,raw wastewater,innovaprep ultrafiltration,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,2,sars-cov-2,n2,US_CDC 2019-Novel Coronavirus (2019-nCoV) Real-time rRT-PCR Panel: Primers and Probes. 2020.,dpcr,LOD calculation - Qiagen email - 2022-09-107,rna,"Twist Synthetic SARS-CoV-2 RNA Control
2 (MN908947.3)",GT Molecular Inhibition Assessment Protocol Appendix E for QIAcuity,2,2023-07-11,8:04,0.17604,R_07112023,OU,2023-07-12,copies/L wastewater,1561,964,no,14.92,not tested,no,2864321,copies/L wastewater,pepper mild mottle virus,"Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). ",OH0023931,21,this lab uses a lab method distinct from other labs in this reporting jurisdiction,39009-001-01-03-01,,,,,
OH,39009,,45701,1681,upstream  ,OU_TP6,higher ed other,Athens WTP,OH,4.8,24-hr time-weighted composite,raw wastewater,innovaprep ultrafiltration,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,2,sars-cov-2,n2,US_CDC 2019-Novel Coronavirus (2019-nCoV) Real-time rRT-PCR Panel: Primers and Probes. 2020.,dpcr,LOD calculation - Qiagen email - 2022-09-108,rna,"Twist Synthetic SARS-CoV-2 RNA Control
2 (MN908947.3)",GT Molecular Inhibition Assessment Protocol Appendix E for QIAcuity,2,2023-07-11,7:54,0.06724,TP6_07112023,OU,2023-07-12,copies/L wastewater,120,964,no,10.98,not tested,no,278782,copies/L wastewater,pepper mild mottle virus,"Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). ",OH0023931,21,this lab uses a lab method distinct from other labs in this reporting jurisdiction,39009-001-01-04-04,,,,,
OH,39009,,45701,24536,upstream  ,OU_A,not institution specific,Athens WTP,OH,4.8,24-hr time-weighted composite,raw wastewater,innovaprep ultrafiltration,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,2,sars-cov-2,n2,US_CDC 2019-Novel Coronavirus (2019-nCoV) Real-time rRT-PCR Panel: Primers and Probes. 2020.,dpcr,LOD calculation - Qiagen email - 2022-09-22,rna,"Twist Synthetic SARS-CoV-2 RNA Control
2 (MN908947.3)",GT Molecular Inhibition Assessment Protocol Appendix E for QIAcuity,2,2023-07-16,0:00,2.6,A_07162023,OU,2023-07-17,copies/L wastewater,2212,964,no,13.19,not tested,no,5547737,copies/L wastewater,pepper mild mottle virus,"Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). ",OH0023931,21,this lab uses a lab method distinct from other labs in this reporting jurisdiction,,,,,,
OH,39009,,45701,1707,upstream  ,OU_D,not institution specific,Athens WTP,OH,4.8,24-hr time-weighted composite,raw wastewater,innovaprep ultrafiltration,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,2,sars-cov-2,n2,US_CDC 2019-Novel Coronavirus (2019-nCoV) Real-time rRT-PCR Panel: Primers and Probes. 2020.,dpcr,LOD calculation - Qiagen email - 2022-09-105,rna,"Twist Synthetic SARS-CoV-2 RNA Control
2 (MN908947.3)",GT Molecular Inhibition Assessment Protocol Appendix E for QIAcuity,2,2023-07-16,7:44,0.06828,D_07162023,OU,2023-07-17,copies/L wastewater,731,964,no,9.03,not tested,no,2390221,copies/L wastewater,pepper mild mottle virus,"Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). ",OH0023931,21,this lab uses a lab method distinct from other labs in this reporting jurisdiction,39009-001-01-01-01,,,,,
OH,39009,,45701,1884,upstream  ,OU_L,not institution specific,Athens WTP,OH,4.8,24-hr time-weighted composite,raw wastewater,innovaprep ultrafiltration,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,2,sars-cov-2,n2,US_CDC 2019-Novel Coronavirus (2019-nCoV) Real-time rRT-PCR Panel: Primers and Probes. 2020.,dpcr,LOD calculation - Qiagen email - 2022-09-106,rna,"Twist Synthetic SARS-CoV-2 RNA Control
2 (MN908947.3)",GT Molecular Inhibition Assessment Protocol Appendix E for QIAcuity,2,2023-07-16,8:20,0.07536,L_07162023,OU,2023-07-17,copies/L wastewater,221,964,no,4.69,not tested,no,33343994,copies/L wastewater,pepper mild mottle virus,"Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). ",OH0023931,21,this lab uses a lab method distinct from other labs in this reporting jurisdiction,39009-001-01-02-01,,,,,
OH,39009,,45701,4401,upstream  ,OU_R,not institution specific,Athens WTP,OH,4.8,24-hr time-weighted composite,raw wastewater,innovaprep ultrafiltration,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,2,sars-cov-2,n2,US_CDC 2019-Novel Coronavirus (2019-nCoV) Real-time rRT-PCR Panel: Primers and Probes. 2020.,dpcr,LOD calculation - Qiagen email - 2022-09-107,rna,"Twist Synthetic SARS-CoV-2 RNA Control
2 (MN908947.3)",GT Molecular Inhibition Assessment Protocol Appendix E for QIAcuity,2,2023-07-16,8:04,0.17604,R_07162023,OU,2023-07-17,copies/L wastewater,10702,964,no,11.50,not tested,no,11017094,copies/L wastewater,pepper mild mottle virus,"Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). ",OH0023931,21,this lab uses a lab method distinct from other labs in this reporting jurisdiction,39009-001-01-03-01,,,,,
OH,39009,,45701,1681,upstream  ,OU_TP6,higher ed other,Athens WTP,OH,4.8,grab,raw wastewater,innovaprep ultrafiltration,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,2,sars-cov-2,n2,US_CDC 2019-Novel Coronavirus (2019-nCoV) Real-time rRT-PCR Panel: Primers and Probes. 2020.,dpcr,LOD calculation - Qiagen email - 2022-09-108,rna,"Twist Synthetic SARS-CoV-2 RNA Control
2 (MN908947.3)",GT Molecular Inhibition Assessment Protocol Appendix E for QIAcuity,2,2023-07-17,7:54,0.06724,TP6_07172023,OU,2023-07-17,copies/L wastewater,0,964,no,8.84,not tested,no,154856,copies/L wastewater,pepper mild mottle virus,"Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). ",OH0023931,21,this lab uses a lab method distinct from other labs in this reporting jurisdiction,39009-001-01-04-04,,,,,
OH,39009,,45701,24536,upstream  ,OU_A,not institution specific,Athens WTP,OH,4.8,24-hr time-weighted composite,raw wastewater,innovaprep ultrafiltration,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,2,sars-cov-2,n2,US_CDC 2019-Novel Coronavirus (2019-nCoV) Real-time rRT-PCR Panel: Primers and Probes. 2020.,dpcr,LOD calculation - Qiagen email - 2022-09-22,rna,"Twist Synthetic SARS-CoV-2 RNA Control
2 (MN908947.3)",GT Molecular Inhibition Assessment Protocol Appendix E for QIAcuity,2,2023-07-18,0:00,2.6,A_07182023,OU,2023-07-19,copies/L wastewater,1738,964,no,12.26,not tested,no,6607543,copies/L wastewater,pepper mild mottle virus,"Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). ",OH0023931,21,this lab uses a lab method distinct from other labs in this reporting jurisdiction,,,,,,
OH,39009,,45701,1707,upstream  ,OU_D,not institution specific,Athens WTP,OH,4.8,24-hr time-weighted composite,raw wastewater,innovaprep ultrafiltration,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,2,sars-cov-2,n2,US_CDC 2019-Novel Coronavirus (2019-nCoV) Real-time rRT-PCR Panel: Primers and Probes. 2020.,dpcr,LOD calculation - Qiagen email - 2022-09-105,rna,"Twist Synthetic SARS-CoV-2 RNA Control
2 (MN908947.3)",GT Molecular Inhibition Assessment Protocol Appendix E for QIAcuity,2,2023-07-18,7:44,0.06828,D_07182023,OU,2023-07-19,copies/L wastewater,139,964,no,5.47,not tested,no,2263902,copies/L wastewater,pepper mild mottle virus,"Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). ",OH0023931,21,this lab uses a lab method distinct from other labs in this reporting jurisdiction,39009-001-01-01-01,,,,,
